numero_contrato;numero_controle_pncp;empresa_contratada;cnpj_contratada;objeto;orgao_contratante;municipio;uf;modalidade;link_pncp
1;83845701000159-2-000005/2026;G4F SOLUCOES CORPORATIVAS LTDA;07.094.346/0001-45;Contratação de serviços continuados de apoio à execução e à fiscalização de contratos que tenham por objeto obras e serviço de engenharia, bem como apoio às atividades de desenvolvimento e programação de sistemas, a serem executados nas dependências dos prédios do Poder Judiciário do Estado de Santa Catarina, para execução no regime de empreitada por preço unitário, com dedicação exclusiva da mão de obra,compreendendo, inclusive, o fornecimento de equipamentos de telefonia e de informática (notebook e software), além de equipamentos de proteção individual (EPIs).;SANTA CATARINA TRIBUNAL DE JUSTICA;Florianópolis;SC;Pregão - Eletrônico;https://pncp.gov.br/contratos/83845701000159/2026/5
14;00394452000103-2-007720/2024;FRAGA CONSTRUCOES E ENGENHARIA LTDA;12.713.820/0001-00;CONTRATAÇÃO DE SERVIÇOS PERICIAIS DE ENGENHARIA DE CONSTRUÇÃO DO SANGRADOURO (VERTEDOURO), TOMADA D’ÁGUA, DEMOLIÇÃO E CONSTRUÇÃO DE PONTE, FORNECIMENTO E INSTALAÇÃO DE SISTEMA ELÉTRICO, INSTRUMENTAÇÃO, ESTAÇÃO DE RECALQUE, BRITAGEM, SINALIZAÇÃO VIÁRIA E OBRAS COMPLEMENTARES, LOCALIZADAS NA BARRAGEM DE ARVOREZINHA EM BAGÉ-RS.;COMANDO DO EXERCITO;Lages;SC;Concorrência - Eletrônica;https://pncp.gov.br/contratos/00394452000103/2024/7720
100053;50853555000154-2-000111/2026;CELEBRE OBRAS E SERVIÇOS LTDA;12.609.247/0001-99;CONTRATAÇÃO DE  EMPRESA DE  ENGENHARIA  PARA PRESTAÇÃO DE SERVIÇO DE SUBSTITUIÇÃO DE REDES DE DISTRIBUIÇÃO DE ÁGUA, TROCA DE RAMAIS PELO MÉTODO NÃO DESTRUTIVO (MND) E SUBSTITUIÇÃO DE ADUTORA DE ÁGUA TRATADA, REFERENTE AO PROJETO DE REDUÇÃO DE PERDAS E SETORIZAÇÃO NO BAIRRO SANTA TEREZINHA NA CIDADE DE PIRACICABA  SP.;SERVICO MUNICIPAL DE AGUA E ESGOTO;Piracicaba;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/50853555000154/2026/111
70;82911249000113-2-000067/2026;ECO PRIME ENGENHARIA LTDA;08.068.681/0001-31;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM OBRAS E SERVIÇOS DE ENGENHARIA PARA CONSTRUÇÃO DE UMA PONTE EM CONCRETO COM 249,94 METROS DE COMPRIMENTO TOTAL, SOBRE O RIO ARARANGUÁ, LIGANDO A LOCALIDADE DE HERCÍLIO LUZ E O ACESSO PARA O MORRO DOS CONVENTOS, MUNICÍPIO DE ARARANGUÁ/SC - CONVÊNIO N. 2025TR002010 - SECRETARIA DE ESTADO DA INFRAESTRUTURA E MOBILIDADE - SIE - ESTADO DE SANTA CATARINA, CONFORME INFORMAÇÕES APRESENTADAS E CONDIÇÕES E EXIGÊNCIAS ESTABELECIDAS NO INSTRUMENTO CONVOCATÓRIO, PROJETO BÁSICO, MEMORIAL DESCRITIVO, CRONOGRAMA E DEMAIS ANEXOS.;MUNICIPIO DE ARARANGUA;Araranguá;SC;Concorrência - Eletrônica;https://pncp.gov.br/contratos/82911249000113/2026/67
22916;43052497000102-2-000024/2026;DGB ENGENHARIA E CONSTRUCOES LTDA;61.608.477/0001-49;CONTRATAÇÃO DAS OBRAS E SERVIÇOS DE IMPLANTAÇÃO DO DISPOSITIVO DE SEGURANÇA EM DESNÍVEL DE ACESSO E RETORNO AO MUNICÍPIO DE TAMBAÚ/SP, NA RODOVIA SP 332, KM 271+650M;DEPARTAMENTO DE ESTRADAS DE RODAGEM;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/43052497000102/2026/24
366;14100747000126-2-000267/2025;PEROLI ENGENHARIA LTDA;17.275.476/0001-38;Registro de preços para contratação de empresa especializada para, sob demanda,  executar serviços comuns de engenharia, compreendendo serviços de manutenção predial, reformas e reparos estruturais, obras de requalificação e demais intervenções correlatas, com fornecimento de materiais, equipamentos e mão de obra qualificada, mediante aplicação de percentual de desconto único e fixo sobre os preços unitários da Tabela SINAPI vigente, visando atender às necessidades de infraestrutura, manutenção;MUNICIPIO DE RIACHAO DAS NEVES;Riachão das Neves;BA;Pregão - Eletrônico;https://pncp.gov.br/contratos/14100747000126/2025/267
11;50176270000126-2-000043/2026;G2O GERENCIAMENTO E OBRAS LTDA;05.268.723/0001-90;Contratação de empresa de engenharia especializada em serviços de manutenção preventiva e corretiva do conjunto formado pelas placas de brise localizadas na fachada da cobertura do Edifício Sede do TCMSP.;SAO PAULO TRIBUNAL DE CONTAS DO MUNICIPIO;São Paulo;SP;Dispensa;https://pncp.gov.br/contratos/50176270000126/2026/43
0013/26;46965083000154-2-000011/2026;ARION CONSTRUCOES E GERENCIAMENTO DE OBRAS LTDA;10.836.143/0001-91;"Contratação de empresa de engenharia especializada para execução da obra de retrofitting
da ETE Laranja Azeda";SERVICO DE AGUA E ESGOTO DE PIRASSUNUNGA;Pirassununga;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/46965083000154/2026/11
5;18560547000107-2-000006/2025;CONSTRUTORA LAM LTDA;03.522.765/0001-80;CONTRATAÇÃO DE SERVIÇOS COMUNS DE ENGENHARIA DESTINADOS À EXECUÇÃO DE OBRAS DO PAVILHÃO DE LABORATÓRIOS DO CAMPUS SOSÍGENES COSTA, LOCALIZADO EM PORTO SEGURO-BA;UNIVERSIDADE FEDERAL DO SUL DA BAHIA;Itabuna;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/18560547000107/2025/6
51;49269236000117-2-000039/2025;PENTAGONO SERVICOS DE ENGENHARIA CIVIL E CONSULTORIA LTDA;47.026.679/0001-51;CONTRATAÇÃO DE SERVIÇOS CONTÍNUOS DE NATUREZA TÉCNICA ESPECIALIZADA PARA APOIO E ASSESSORAMENTO NO DESENVOLVIMENTO DE ATIVIDADES PRELIMINARES, COMPLEMENTARES E DE ACOMPANHAMENTO DE SERVIÇOS E OBRAS DE MELHORIA DE BAIRROS E MOBILIDADE URBANA.;SECRETARIA MUNICIPAL DAS SUBPREFEITURAS;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/49269236000117/2025/39
